;DENV46/1;DENV46/182;DENV73/1;DENV73/182
1;0.25246;0.31546;0.27761;0.31546
1;0.31571;0.49372;0.20314;0.49372
1;0.25385;0.26577;0.27469;0.26577
1;0.23733;0.49331;0.27697;0.49331
1;0.25930;0.35829;0.27632;0.35829
1;0.29860;0.25637;0.22399;0.25637
1;0.23167;0.26062;0.25282;0.26062
1;0.20290;0.14836;0.17258;0.14836
1;0.22368;0.46933;0.25524;0.46933
1;0.26296;0.34725;0.26496;0.34725
1;0.21957;0.26699;0.28293;0.26699
1;0.16959;0.13858;0.15055;0.13858
1;0.22938;0.39139;0.25328;0.39139
1;0.31428;0.32287;0.25772;0.32287
1;0.27019;0.32242;0.24653;0.32242
1;0.27662;0.27592;0.27176;0.27592
1;0.30471;0.46438;0.25551;0.46438
1;0.20380;0.30057;0.24635;0.30057
1;0.23600;0.37415;0.22988;0.37415
1;0.22843;0.39812;0.24039;0.39812
1;0.23753;0.50955;0.20627;0.50955
1;0.24366;0.33615;0.25801;0.33615
1;0.26601;0.29614;0.31161;0.29614
1;0.22772;0.32400;0.26357;0.32400
1;0.43571;0.46322;0.39550;0.46322
1;0.24776;0.26866;0.23595;0.26866
1;0.24317;0.24389;0.29041;0.24389
1;0.24045;0.43445;0.24021;0.43445
1;0.26746;0.27651;0.25131;0.27651
1;0.19978;0.30386;0.26988;0.30386
1;0.17376;0.19220;0.19510;0.19220
1;0.22694;0.35928;0.27106;0.35928
1;0.34874;0.38010;0.33993;0.38010
1;0.32512;0.30231;0.28767;0.30231
1;0.27486;0.42938;0.28236;0.42938
1;0.24229;0.28937;0.20390;0.28937
1;0.18366;0.16671;0.18443;0.16671
1;0.22112;0.27800;0.25766;0.27800
1;0.30053;0.51329;0.25757;0.51329
1;0.27574;0.20350;0.22256;0.20350
1;0.21808;0.51756;0.24049;0.51756
1;0.26490;0.41894;0.27428;0.41894
1;0.25078;0.47945;0.23076;0.47945
1;0.30470;0.45335;0.28786;0.45335
1;0.22906;0.24676;0.25700;0.24676
1;0.22102;0.40202;0.19317;0.40202
1;0.29777;0.42363;0.24709;0.42363
1;0.25071;0.28754;0.24329;0.28754
1;0.27784;0.24638;0.20080;0.24638
1;0.24668;0.31428;0.27979;0.31428
1;0.20017;0.19287;0.15284;0.19287
1;0.24730;0.31494;0.27338;0.31494
1;0.20273;0.25082;0.22072;0.25082
1;0.23988;0.28974;0.27090;0.28974
1;0.16309;0.21097;0.17779;0.21097
1;0.26656;0.30146;0.32405;0.30146
1;0.28237;0.51684;0.23746;0.51684
1;0.24890;0.27091;0.23438;0.27091
1;0.21998;0.37731;0.22017;0.37731
1;0.21811;0.47954;0.24115;0.47954
1;0.22466;0.30504;0.19012;0.30504
1;0.22876;0.44126;0.24657;0.44126
1;0.25260;0.30075;0.24364;0.30075
1;0.25116;0.45327;0.22894;0.45327
1;0.20413;0.22799;0.22934;0.22799
1;0.23474;0.28263;0.26292;0.28263
1;0.21707;0.32835;0.29565;0.32835
1;0.24563;0.25500;0.18261;0.25500
1;0.21805;0.19714;0.28764;0.19714
1;0.21872;0.32053;0.20521;0.32053
1;0.22048;0.29753;0.23152;0.29753
1;0.26760;0.30401;0.29571;0.30401
1;0.38050;0.45334;0.37475;0.45334
1;0.22688;0.64445;0.34520;0.64445
1;0.32187;0.53907;0.20862;0.53907
1;0.24854;0.31923;0.27734;0.31923
1;0.21337;0.34325;0.22098;0.34325
1;0.23021;0.23532;0.21284;0.23532
1;0.26656;0.30856;0.25245;0.30856
1;0.24014;0.40091;0.20727;0.40091
1;0.25522;0.25123;0.23301;0.25123
1;0.27972;0.40851;0.26650;0.40851
1;0.23300;0.52603;0.31061;0.52603
1;0.24455;0.31987;0.18633;0.31987
1;0.22764;0.36776;0.29220;0.36776
1;0.27883;0.46276;0.20268;0.46276
1;0.20629;0.32064;0.25847;0.32064
1;0.23510;0.45157;0.19970;0.45157
1;0.23398;0.27000;0.21978;0.27000
1;0.18593;0.16579;0.19815;0.16579
1;0.24356;0.38660;0.23586;0.38660
1;0.26174;0.32846;0.23209;0.32846
1;0.25684;0.53663;0.30939;0.53663
1;0.28953;0.22534;0.22973;0.22534
1;0.20103;0.43712;0.25672;0.43712
1;0.22226;0.36309;0.22920;0.36309
1;0.24166;0.34228;0.25341;0.34228
1;0.26154;0.48395;0.22112;0.48395
1;0.26563;0.50375;0.29635;0.50375
1;0.30195;0.31529;0.26504;0.31529
1;0.24332;0.43136;0.22976;0.43136
1;0.25544;0.36052;0.31836;0.36052
1;0.22925;0.31804;0.25649;0.31804
1;0.22108;0.32276;0.20826;0.32276
1;0.23075;0.33936;0.23455;0.33936
1;0.23853;0.31751;0.27708;0.31751
1;0.23645;0.23059;0.22592;0.23059
1;0.21859;0.33759;0.26196;0.33759
1;0.26163;0.38461;0.23748;0.38461
1;0.24360;0.21385;0.21144;0.21385
1;0.21826;0.34211;0.21745;0.34211
1;0.38116;0.45084;0.31266;0.45084
1;0.21067;0.48818;0.18273;0.48818
1;0.30218;0.32230;0.22323;0.32230
1;0.26286;0.35643;0.25051;0.35643
1;0.25007;0.44451;0.23668;0.44451
1;0.27897;0.55468;0.27722;0.55468
1;0.28844;0.44719;0.18256;0.44719
1;0.23085;0.55288;0.21221;0.55288
1;0.26782;0.37945;0.25072;0.37945
1;0.21286;0.25938;0.31087;0.25938
1;0.23608;0.31007;0.26966;0.31007
1;0.32959;0.49051;0.27188;0.49051
1;0.22881;0.40734;0.23461;0.40734
1;0.26253;0.48430;0.23175;0.48430
1;0.18981;0.37098;0.24552;0.37098
1;0.24301;0.20670;0.26152;0.20670
1;0.23636;0.40918;0.25457;0.40918
1;0.25000;0.25428;0.22284;0.25428
1;0.21756;0.54947;0.22511;0.54947
1;0.26098;0.29858;0.28194;0.29858
