;DENV46/1;DENV46/182;DENV73/1;DENV73/182
y18688;0.24347;0.40425;0.23951;0.40425
y18689;0.20940;0.26887;0.23473;0.26887
y18690;0.24653;0.43667;0.28582;0.43667
y18691;0.26126;0.48882;0.22207;0.48882
y18692;0.27462;0.30628;0.32078;0.30628
y18693;0.22574;0.48598;0.23447;0.48598
y18694;0.22470;0.39401;0.23783;0.39401
y18695;0.21396;0.27270;0.29864;0.27270
y18696;0.26131;0.28546;0.27508;0.28546
y18697;0.28571;0.52761;0.24491;0.52761
y18698;0.20284;0.17103;0.19094;0.17103
y18699;0.20190;0.48393;0.23124;0.48393
y18700;0.28379;0.37622;0.25019;0.37622
y18701;0.26581;0.32736;0.24840;0.32736
y18702;0.21045;0.21497;0.22884;0.21497
y18703;0.33021;0.39567;0.45305;0.39567
y18704;0.24925;0.25938;0.35042;0.25938
y18705;0.23621;0.51923;0.24480;0.51923
y18706;0.25641;0.28064;0.36593;0.28064
y18707;0.24091;0.40510;0.23532;0.40510
y18708;0.26901;0.22339;0.24529;0.22339
y18709;0.29474;0.39726;0.29118;0.39726
y18710;0.27095;0.43926;0.32794;0.43926
y18711;0.26878;0.45426;0.22591;0.45426
y18712;0.25445;0.42977;0.23959;0.42977
y18713;0.24908;0.43837;0.27909;0.43837
y18714;0.29129;0.32363;0.24909;0.32363
y18715;0.15976;0.19955;0.17789;0.19955
y18716;0.22637;0.40767;0.21362;0.40767
y18717;0.23130;0.40842;0.21281;0.40842
y18718;0.24581;0.19974;0.22081;0.19974
y18719;0.22366;0.26720;0.27378;0.26720
y18720;0.23599;0.39154;0.25759;0.39154
y18721;0.28735;0.32190;0.25066;0.32190
y18722;0.22750;0.31811;0.33277;0.31811
y18723;0.19224;0.30321;0.26215;0.30321
y18724;0.24708;0.41926;0.25695;0.41926
y18725;0.30493;0.25101;0.24137;0.25101
y18726;0.40702;0.54196;0.41778;0.54196
y18727;0.16795;0.11322;0.18088;0.11322
y18728;0.28839;0.23553;0.25809;0.23553
y18729;0.24622;0.34414;0.26039;0.34414
y18730;0.19407;0.23103;0.27685;0.23103
y18731;0.30949;0.43310;0.26070;0.43310
y18732;0.20161;0.31232;0.23886;0.31232
y18733;0.22803;0.23199;0.25851;0.23199
y18734;0.28125;0.45692;0.21682;0.45692
y18735;0.26910;0.31481;0.23301;0.31481
y18736;0.30840;0.24562;0.24509;0.24562
y18737;0.24173;0.25767;0.29940;0.25767
y18738;0.25679;0.21585;0.21244;0.21585
